,step,amount,isFraud
1030373,59,1367340.03,1
1846399,163,163294.35,1
2041058,181,1644749.94,1
1030263,51,202887.77,1
6271492,619,945131.71,1
6036622,477,1720600.92,1
3193200,244,1946.74,1
6264963,613,393699.17,1
6359827,715,1390048.67,1
6061820,501,9301213.46,1
6276605,638,1559540.62,1
18771,8,222.0,1
6259039,600,983417.49,1
6317400,687,458845.55,1
138559,11,1933920.8,1
1030401,62,401529.35,1
2537764,205,128572.96,1
1059513,100,28871.9,1
5844471,402,127156.49,1
288377,15,212089.74,1
1030386,60,581421.85,1
6117984,531,13074.53,1
6100653,523,7603589.38,1
6019715,456,13914.81,1
6362408,726,1539474.57,1
6345561,693,463891.31,1
1059575,105,188854.39,1
5187783,362,85113.85,1
6259433,601,93253.25,1
6273157,632,52541.42,1
1030257,50,112668.54,1
5976929,407,48132.52,1
3960288,292,21859.86,1
1069355,121,936976.86,1
6260574,608,780687.45,1
6256791,598,5566368.02,1
6296768,680,10000000.0,1
1616836,156,86848.88,1
6168509,554,346795.44,1
6296677,678,1536733.52,1
605779,34,51424.22,1
6305733,684,459.38,1
6020343,464,880975.83,1
3960330,296,5591414.49,1
576358,31,5021186.54,1
1506839,144,102750.55,1
6355229,709,87541.41,1
764187,38,407005.78,1
6160588,549,461442.52,1
5188025,365,4841332.26,1
6237170,594,389250.9,1
6358605,714,8838.19,1
6055677,498,95064.86,1
1487414,142,73064.41,1
6171062,563,1565621.39,1
6024604,469,245106.78,1
4950858,351,153607.08,1
6030059,472,2739869.62,1
1059645,111,574709.63,1
3188014,240,806850.06,1
1059520,101,253793.28,1
6168720,561,2763025.35,1
6202223,582,181543.89,1
6259975,607,56888.23,1
6054552,495,797710.8,1
6009614,441,1043934.97,1
3198627,249,56013.0,1
3935966,285,179648.89,1
6260296,608,353094.9,1
1511331,148,394886.13,1
3959664,289,87219.11,1
5159632,357,10000000.0,1
5561949,385,620512.76,1
2064418,181,252189.32,1
6036616,477,338293.14,1
2481816,204,81244.31,1
2780719,214,2485467.28,1
1018659,47,156011.24,1
6362497,733,905919.58,1
6010872,444,541486.74,1
3955019,288,21511.22,1
5477542,379,2983996.6,1
6055669,497,1177100.83,1
6102387,524,356224.26,1
6201998,582,781988.85,1
6187034,569,577301.73,1
4622134,329,338062.05,1
6278033,641,19646.09,1
3204450,249,4720554.95,1
1115,1,35063.63,1
1030661,82,10000000.0,1
6121272,538,37436.78,1
6134801,544,179997.78,1
2564998,206,990630.25,1
4784414,336,205129.12,1
6227091,591,221107.56,1
2801135,223,181588.3,1
2801111,221,167060.63,1
5563780,391,1309940.05,1
6347723,694,5175876.53,1
1030630,79,61178.51,1
2612712,208,131261.23,1
576028,26,1646181.09,1
1511355,150,1335959.76,1
6362544,737,2194533.79,1
3193203,245,124311.57,1
1030501,68,157494.6,1
4374713,311,227624.3,1
3610985,270,757422.83,1
6362373,723,72955.08,1
6216501,589,164296.85,1
1040186,94,1454592.61,1
6280299,644,513610.51,1
5987903,410,124202.04,1
6351543,705,989954.57,1
1059686,117,149279.69,1
1510963,146,322329.78,1
6281818,653,128440.4,1
2793714,216,36300.25,1
1911,1,132842.64,1
6040733,488,326052.83,1
6362534,736,274799.58,1
6161404,550,342309.91,1
6074061,515,124465.49,1
6273674,637,58521.53,1
6117951,531,834203.65,1
6283803,657,24853.41,1
1069989,122,188249.17,1
6082007,521,98086.09,1
1030732,88,9345700.07,1
136419,11,2100.0,1
6296627,674,306505.03,1
1510859,146,7114590.07,1
6019902,458,167806.93,1
3684,2,18627.02,1
2703721,211,405062.33,1
6117480,529,1773151.32,1
6168727,561,897131.97,1
5841056,402,4257337.62,1
817010,40,7887.75,1
1701655,159,224661.54,1
3814235,281,441892.92,1
5997445,426,99804.21,1
6190128,571,272637.22,1
5996401,425,10000000.0,1
6187268,569,22117.99,1
3692709,277,342988.79,1
5373729,376,248123.95,1
6055697,499,43308.07,1
6163145,550,85303.24,1
5275607,372,81814.51,1
4388759,317,681007.64,1
5727826,399,1442075.9,1
6052197,495,255286.59,1
1116,1,35063.63,1
5184151,360,758848.47,1
6296007,671,152724.32,1
3749911,279,345533.89,1
6055695,499,116530.2,1
12214,7,21571.0,1
2382157,198,18471.55,1
6009601,440,1102791.66,1
6351188,699,162326.52,1
1059488,98,8055.06,1
1059294,97,31329.62,1
3922754,285,4452001.07,1
2434432,203,466580.69,1
6213541,588,2709729.22,1
4364280,310,5239429.19,1
6279545,644,70669.49,1
6201900,581,155002.83,1
3626200,274,131594.12,1
3273907,251,2693520.61,1
6296678,678,194876.96,1
3600454,263,273408.94,1
6273160,632,82209.71,1
6030759,474,149975.43,1
5393914,377,2344540.14,1
6168729,561,2329379.8,1
1030588,74,4582074.51,1
3163672,237,10000000.0,1
5563378,386,442290.23,1
4785643,340,4677358.76,1
5989567,416,79076.14,1
1932176,171,1786247.31,1
2780720,214,2485467.28,1
1030375,60,1026208.84,1
3343334,253,2415826.18,1
6153582,547,1139983.15,1
1030381,60,45807.51,1
3958615,289,3374.25,1
1059543,103,137508.01,1
6194193,572,2000718.2,1
2382770,201,16182.7,1
1511315,147,522343.83,1
1502871,143,155854.37,1
5866389,403,108560.06,1
6239361,595,236914.77,1
6010945,446,398041.98,1
6039458,482,732198.35,1
6168674,557,131050.76,1
6168693,558,889.76,1
1030683,84,296349.8,1
5737449,399,1082200.06,1
6281496,648,468638.03,1
6344706,692,10000000.0,1
2121441,183,2075328.73,1
6273155,632,480404.03,1
6351205,701,91882.6,1
3187433,240,103949.5,1
5967470,406,40013.19,1
6039815,486,214793.32,1
6166979,552,45116.24,1
6019714,456,13914.81,1
1511342,149,17569.42,1
6310008,686,974452.84,1
6039752,483,526119.49,1
742060,38,90204.54,1
1059515,100,1422963.14,1
5823886,402,48266.8,1
6008430,435,365332.78,1
3760283,279,10000000.0,1
6152640,547,594471.04,1
1005089,46,9977761.05,1
1030625,79,353045.35,1
6020362,465,44946.2,1
3071553,235,638487.85,1
1030563,73,12619.29,1
6112212,526,210525.95,1
6362513,734,23912.2,1
6168683,558,316877.85,1
1044989,94,363378.75,1
6305422,684,1430050.84,1
6010946,446,398041.98,1
6010741,442,37323.15,1
6019712,456,38180.99,1
6271132,619,418971.0,1
1511379,151,338229.88,1
6064044,505,2251225.38,1
1932236,176,455709.8,1
3971566,297,5591647.96,1
1932213,174,31045.76,1
4271852,307,1072345.79,1
4769537,334,972142.03,1
6201875,580,835770.84,1
6100668,523,4623764.68,1
2799308,217,538312.05,1
5995644,423,3588174.94,1
1510106,145,66448.19,1
1030440,65,385556.82,1
6168645,555,24424.67,1
6055678,498,95064.86,1
6021371,468,652782.54,1
408955,18,314251.58,1
6272951,625,367631.15,1
1030293,53,931684.75,1
6039796,485,3351304.78,1
6362585,741,0.0,1
4058811,300,176059.16,1
861646,42,334276.08,1
2729493,212,927620.44,1
6201414,577,113687.0,1
6088894,522,59250.11,1
5404172,377,489033.93,1
4932995,350,257988.47,1
6276603,638,7788725.2,1
3267055,251,82112.74,1
6273180,635,1387048.31,1
1030523,70,266766.78,1
6352863,705,353090.95,1
5988203,413,140333.35,1
6064035,504,1380940.73,1
1931844,170,147649.37,1
6276604,638,1559540.62,1
6213752,588,98533.36,1
6362588,741,114149.44,1
6020354,464,336917.97,1
1932216,174,1244224.16,1
6351213,701,1947831.96,1
6294044,669,5388834.64,1
6010863,444,1108140.19,1
6055689,499,558136.45,1
5188057,367,435867.16,1
6362547,737,167606.49,1
1030714,86,21829.31,1
4557165,327,1076518.28,1
6281654,649,963966.56,1
2371144,191,132294.93,1
3608722,265,158214.43,1
5188017,364,34162.97,1
5550828,383,4104942.7,1
3610993,270,1998327.96,1
6294086,669,111033.79,1
1496507,142,346374.54,1
6272985,629,19527.35,1
6273150,631,10000000.0,1
6065304,512,684266.09,1
1059679,116,522465.43,1
1059604,107,37133.63,1
6260425,608,136331.05,1
6009607,440,10000000.0,1
1511377,151,443893.69,1
6121961,539,79594.91,1
6292360,666,504362.34,1
3115166,236,67050.5,1
3193190,243,995710.58,1
2185485,185,476890.47,1
2382149,197,1961426.59,1
3610370,266,10000000.0,1
6018857,454,1172700.63,1
6168692,558,209829.57,1
3933726,285,106654.67,1
6064989,507,227304.91,1
1510121,145,34301.19,1
4785681,344,272997.35,1
1070080,123,6351930.74,1
2116098,183,4354175.33,1
6227077,591,111764.7,1
1048895,95,8775594.43,1
1030710,86,10000000.0,1
2537920,205,96640.12,1
6010864,444,1108140.19,1
3193204,245,124311.57,1
1030410,63,148188.84,1
4823479,346,180110.22,1
4243263,306,850530.59,1
6296475,673,645104.5,1
6020273,461,125153.57,1
3211990,249,2085019.56,1
6201836,579,1540624.7,1
1059547,103,1254092.1,1
6013692,449,166880.54,1
3610888,267,1654055.02,1
1030486,68,915266.65,1
5188006,363,692895.24,1
3148385,236,4121986.59,1
6281799,652,762782.66,1
6242329,595,2209035.37,1
6117482,529,1399724.98,1
2122590,183,224378.1,1
3749433,279,98897.07,1
6265561,614,797235.09,1
5040726,354,375419.35,1
6020282,461,873356.47,1
1186591,132,190737.49,1
6020337,463,1968008.53,1
2382172,199,295054.68,1
6039447,481,190215.18,1
303659,15,59385.67,1
5996396,425,19421.77,1
5801851,401,5838803.23,1
3604713,264,84196.79,1
6259922,603,1778520.7,1
6278032,641,19646.09,1
5555664,383,4731371.88,1
5995102,422,1857935.57,1
6351253,704,391855.44,1
6351218,702,573266.42,1
6080946,520,1459180.14,1
5962969,406,183385.35,1
4410771,322,20986.02,1
5967605,406,184588.59,1
3960123,290,559565.82,1
6168687,558,4529.65,1
5563737,388,20393.12,1
3228962,250,2374490.77,1
5563706,387,10000000.0,1
2217316,186,327282.92,1
1030655,82,5338583.38,1
1025194,48,1215297.01,1
6168714,560,730677.5,1
6201878,580,105861.07,1
6328875,689,953615.38,1
6276979,640,144254.93,1
3,1,181.0,1
4356879,309,3490916.0,1
6266286,615,56510.5,1
1030774,92,101903.69,1
739293,38,448004.86,1
6358056,712,16514.64,1
1510882,146,554522.67,1
3186835,240,723782.37,1
6168501,554,353785.26,1
6358070,713,108779.53,1
6168736,562,8208916.0,1
1059566,105,1767112.66,1
